i,j,distance_cosine,distance_euclidean
39,36,0.28733296965521204,5.115688726034105
39,37,0.10823607324366291,3.326199842725857
39,38,0.3695454359874195,5.872894172893275
39,40,0.08813145343931517,2.906277830060003
39,41,0.11448225188315575,3.2322561159290646
39,42,0.07389178327202905,2.6756377196511814
39,43,0.4132341537521712,6.2893176717853025
39,44,0.3233691156598175,5.440279250327987
39,45,0.4118305749920603,6.318748495256254
39,46,0.13520796571904037,3.514014888922718
39,47,0.09031876674203487,2.8881506935816055
39,48,0.09261441902665135,2.960746388557096
39,49,0.08208110828666104,2.7935374748400785
39,50,0.10283152868493961,3.164541219472147
39,51,0.11443892410274581,3.334325235531475
39,52,0.2647464333358487,4.927734408822311
39,53,0.060848389340925846,2.4033362559516926
39,54,0.06609461363029923,2.5602107405056294
39,55,0.06396112424421896,2.5354282010498053
39,56,0.072126725151623,2.6780251051396147
39,57,0.05757599215699516,2.300476218973441
39,58,0.10624357247514693,3.274907626222443
39,59,0.19588829965848953,4.462884386527189
40,1,0.35763756895104093,5.774831281337231
40,2,0.08477004344258277,2.897283477700552
40,3,0.09465051459058937,3.0737655359519724
40,4,0.1481451517266441,3.741565630690599
40,5,0.1362677266324953,3.6065314897314416
40,6,0.11653413286545222,3.3724982414983926
40,7,0.36190831285818426,5.832210013347572
40,8,0.12041729243160859,3.4120524900720897
40,9,0.10275157537770374,3.1480961525697544
40,10,0.10909641081413546,3.304594037436906
40,11,0.08858275718732,2.9430129264500766
40,12,0.1099862505875302,3.2448560417265933
40,13,0.09246122078620189,3.0591845576432433
40,14,0.3007721037421327,5.541690970166628
40,15,0.1215557468407159,3.397347082945781
40,16,0.08873533133675382,2.947229789885234
40,17,0.1004688277549679,3.104452501026795
40,18,0.13177908085101742,3.6143032556558103
40,19,0.10992036729011534,3.246807464747347
40,20,0.10249250478137839,3.1694663037374635
40,21,0.09637331883846523,3.075995711771141
40,22,0.10491664373181953,3.1420181090233816
40,23,0.11124571003555883,3.256293147183401
40,24,0.10795515422397084,3.257495772905197
40,25,0.1844571261854031,4.167207006230995
40,26,0.10419626176863761,3.1764396804652217
40,27,0.12484609581453465,3.5403125437486085
40,28,0.1811229646160828,4.110315636653115
40,29,0.08379842972743834,2.866303353353095
40,30,0.08381013893929679,2.8325631754412135
40,31,0.0698883646272912,2.6167837421047144
40,32,0.12519798037674867,3.5148474774251466
40,33,0.3985895745340141,6.171166796980679
40,34,0.11657702457302999,3.437929378944995
40,35,0.09683839626801394,3.0520332895991973
40,36,0.3855413875270197,5.996760507278233
40,37,0.10649804817446906,3.317118723398019
40,38,0.43122844458191856,6.416235891547538
40,39,0.08813145343931517,2.906277830060003
40,41,0.18458332049218917,4.156413395058914
40,42,0.12787664231953366,3.5485945088982893
40,43,0.4694988733927502,6.775683818920324
40,44,0.3923026524539661,6.063487585890087
40,45,0.46875747780599974,6.811346591655068
40,46,0.19288160364944562,4.250734645584422
40,47,0.1258613854422107,3.45383882633638
40,48,0.11252563392883297,3.299176511784938
40,49,0.09558773490493133,3.046100392786608
40,50,0.10828057409968928,3.27476165419718
40,51,0.11170262943980902,3.323465560849191
40,52,0.3125024264845987,5.418422201889481
40,53,0.09291121312510187,3.000848721276437
40,54,0.08705644284020586,2.9531882161989236
40,55,0.11129043943945605,3.3532823776392817
40,56,0.1043148606373927,3.236646512680241
40,57,0.1223242328050087,3.396427965543022
40,58,0.13074154771438729,3.6524017665123147
40,59,0.19325098202811908,4.466930550635809
41,1,0.1275013409049387,3.3577528954309326
41,2,0.13693236295571354,3.6157271543748912
41,3,0.17295290124316098,4.077066388375275
41,4,0.09104306893850511,2.855300810332831
41,5,0.16413639169047867,3.859965286105254
41,6,0.1516312057800966,3.7673489627964996
41,7,0.1522058666597279,3.685797877174919
41,8,0.1654802895558678,3.909731453703062
41,9,0.2031116884868157,4.322550114231571
41,10,0.19418196139129007,4.3243386417752285
41,11,0.1464126034413149,3.706932561054342
41,12,0.12580260341211846,3.3862720357286276
41,13,0.17329456858701475,4.112856994379634
41,14,0.17902535407199927,4.212640177911149
41,15,0.1414517594796154,3.5688888121903486
41,16,0.19649012077058092,4.292668956363162
41,17,0.19650296596169725,4.235570031594655
41,18,0.1510438486450716,3.798402720689053
41,19,0.12945289641707847,3.4395872823732994
41,20,0.13410801149077922,3.5549363845477484
41,21,0.09264502364692595,2.965259769146365
41,22,0.0891466339350625,2.8093935005468347
41,23,0.13341581025423865,3.475437089480877
41,24,0.19898863193684646,4.330619068944897
41,25,0.1397155254866672,3.5300184581275817
41,26,0.16989900400600189,3.9654181408469378
41,27,0.17998312538177796,4.173325848470586
41,28,0.054396893471456154,2.1887040425599373
41,29,0.114101464295013,3.2826682412213084
41,30,0.08988784231630098,2.8622157830465222
41,31,0.14138348209120177,3.6482508471606594
41,32,0.18694109146830173,4.208623825197386
41,33,0.1310776563765893,3.4557860752528247
41,34,0.1688863463068324,4.067549063087484
41,35,0.1955393761239278,4.233286165743053
41,36,0.12072971447318404,3.2683929264982563
41,37,0.21972012892605575,4.6728780062208575
41,38,0.16227742187318628,3.8423260552410348
41,39,0.11448225188315575,3.2322561159290646
41,40,0.18458332049218917,4.156413395058914
41,42,0.15122857627937858,3.7844582627776564
41,43,0.20236758011299816,4.353145856424952
41,44,0.15373800629697532,3.698473300639893
41,45,0.21462268754276137,4.5159915391374525
41,46,0.06341436706763093,2.370609384660634
41,47,0.19578376994852564,4.19297094640534
41,48,0.12745402447210818,3.4346783884930274
41,49,0.1866584456830701,4.16215956792418
41,50,0.20655254756845498,4.431284005160648
41,51,0.23043655741740976,4.674029424263866
41,52,0.09195906306168211,2.8637615045177305
41,53,0.1305381904426196,3.4804886215796316
41,54,0.1819272716454181,4.188095164158887
41,55,0.17883719820512212,4.174736820128216
41,56,0.1676448716552691,4.029587475795827
41,57,0.07687866504027452,2.6172520059336204
41,58,0.20552268648646077,4.496303616715081
41,59,0.2710459514817911,5.19066123868846
